MAHARASHTRA
212. Nilanga (M Cl) [ MAH, Population: 31662, Class - III ]
213. Nildoh (CT) [ MAH, Population: 15381, Class - IV ]
214. Nimbhore Budruk (CT) [ MAH, Population: 8448, Class - V ]
215. Osmanabad (M Cl) [ MAH, Population: 80625, Class - II ]
216. Ozar (CT) [ MAH, Population: 45954, Class - III ]
217. Pachgaon (CT) [ MAH, Population: 11991, Class - IV ]
218. Pachora (M Cl) [ MAH, Population: 45333, Class - III ]
219. Padagha (CT) [ MAH, Population: 5047, Class - V ]
220. Paithan (M Cl) [ MAH, Population: 34518, Class - III ]
221. Palghar (M Cl) [ MAH, Population: 52677, Class - II ]
222. Pali (CT) [ MAH, Population: 8172, Class - V ]
223. Panchgani (M Cl) [ MAH, Population: 13280, Class - IV ]
224. Pandharkaoda (M Cl) [ MAH, Population: 26572, Class - III ]
225. Pandharpur (CT) [ MAH, Population: 9696, Class - V ]
226. Pandharpur (M Cl) [ MAH, Population: 91379, Class - II ]
227. Panhala (M Cl) [ MAH, Population: 3452, Class - VI ]
228. Panvel (M Cl) [ MAH, Population: 104058, Class - I ]
229. Paranda (M Cl) [ MAH, Population: 16990, Class - IV ]
230. Parbhani (M Cl) [ MAH, Population: 259329, Class - I ]
231. Parli (M Cl) [ MAH, Population: 88537, Class - II ] 
List of towns: Census of India 2001 Maharashtra– Page 9 of 13
MAHARASHTRA (Continued):
232. Parola (M Cl) [ MAH, Population: 34799, Class - III ]
233. Partur (M Cl) [ MAH, Population: 29012, Class - III ]
234. Pasthal (CT) [ MAH, Population: 16185, Class - IV ]
235. Patan (CT) [ MAH, Population: 11598, Class - IV ]
236. Pathardi (M Cl) [ MAH, Population: 22827, Class - III ]
237. Pathri (M Cl) [ MAH, Population: 32001, Class - III ]
238. Patur (M Cl) [ MAH, Population: 20538, Class - III ]
239. Pauni (M Cl) [ MAH, Population: 22587, Class - III ]
240. Pen (M Cl) [ MAH, Population: 30201, Class - III ]
241. Peth Umri (M Cl) [ MAH, Population: 11151, Class - IV ]
242. Phaltan (M Cl) [ MAH, Population: 50800, Class - II ]
243. Poladpur (CT) [ MAH, Population: 5297, Class - V ]
244. Pulgaon (M Cl) [ MAH, Population: 36522, Class - III ]
245. Pune UA [ MAH, Population: 3760636, Class - I ]
246. Purna (M Cl) [ MAH, Population: 33225, Class - III ]
247. Purushottamnagar (CT) [ MAH, Population: 3594, Class - VI ]
248. Pusad (M Cl) [ MAH, Population: 67166, Class - II ]
249. Rahimatpur (M Cl) [ MAH, Population: 16554, Class - IV ]
250. Rahta Pimplas (M Cl) [ MAH, Population: 19019, Class - IV ]
251. Rahuri (M Cl) [ MAH, Population: 34476, Class - III ]
252. Rajapur (M Cl) [ MAH, Population: 10499, Class - IV ]
253. Rajgurunagar (Khed) (CT) [ MAH, Population: 17636, Class - IV ]
254. Rajur (CT) [ MAH, Population: 11675, Class - IV ]
255. Rajura (M Cl) [ MAH, Population: 25843, Class - III ]
256. Ramtek (M Cl) [ MAH, Population: 22516, Class - III ]
257. Ratnagiri (M Cl) [ MAH, Population: 70383, Class - II ]
258. Raver (M Cl) [ MAH, Population: 25993, Class - III ]
259. Risod (M Cl) [ MAH, Population: 27516, Class - III ]
260. Roha Ashtami (M Cl) [ MAH, Population: 19071, Class - IV ] 
List of towns: Census of India 2001 Maharashtra– Page 10 of 13
MAHARASHTRA (Continued):
261. Sailu (M Cl) [ MAH, Population: 39851, Class - III ]
262. Sangamner (M Cl) [ MAH, Population: 61958, Class - II ]
263. Sangli UA [ MAH, Population: 447774, Class - I ]
264. Sangole (M Cl) [ MAH, Population: 28116, Class - III ]
265. Sasti (CT) [ MAH, Population: 5458, Class - V ]
266. Sasvad (M Cl) [ MAH, Population: 26689, Class - III ]
267. Satana (M Cl) [ MAH, Population: 32561, Class - III ]
268. Satara (M Cl) [ MAH, Population: 108048, Class - I ]
269. Savda (M Cl) [ MAH, Population: 19332, Class - IV ]
270. Savner (M Cl) [ MAH, Population: 26712, Class - III ]
271. Sawantwadi (M Cl) [ MAH, Population: 22901, Class - III ]
272. Sawari Jawharnagar (CT) [ MAH, Population: 11965, Class - IV ]
